year,orgs,gdp,alltexts,population,taxrevenue,disruptions,commerce,domesticpolitics,merchants,percentmerchants,total,session,tradepubs,politics,law,philosophy,recharters,daysP,councils,PubSubset,econtexts
1550,0,38.98,258,58.14,553,0,14.37,0,,,353,0,0,1,16,0,0,31,0,0,1
1551,0,38.36,142,58.99,402,0,13.25,0,,,353,0,0,2,16,0,0,0,0,0,0
1552,0,36.8,150,59.42,384,0,11.71,0,,,353,0,0,5,16,0,0,83,0,0,0
1553,1,43.22,183,59.87,236,0,12.33,0,,,379,1,0,0,22,0,0,89,0,0,0
1554,0,39.57,146,60.39,251,0,12.03,0,,,392,1,0,1,20,0,0,82,0,0,1
1555,0,39.44,212,60.85,194,0,12.01,0,,,392,1,0,1,32,0,0,49,0,0,0
1556,0,32.46,194,61.83,311,0,11.3,0,,,392,0,0,0,64,1,0,0,0,0,0
1557,0,35.49,116,61.68,309,0,11.56,0,,,392,0,0,1,17,0,0,0,0,0,0
1558,0,45.06,113,60.31,353,1,12.38,0,72,,398,1,0,2,17,0,0,58,0,0,1
1559,0,41.31,126,58.45,764,1,11.84,0,72,,405,1,0,1,28,0,0,105,0,0,2
1560,0,41.23,174,58.03,570,0,12.01,0,72,,405,0,0,0,11,1,0,0,0,0,0
1561,0,42.12,149,58.43,,0,11.41,0,72,,405,0,1,1,15,1,0,0,0,1,1
1562,1,42.2,163,59.07,401,0,11.01,0,72,,405,0,0,1,18,0,0,0,0,0,1
1563,0,46.27,158,59.65,359,1,11.07,0,70,,452,1,0,0,15,0,0,88,0,0,1
1564,0,44.73,95,59.87,326,1,11.47,0,70,,452,0,0,0,8,0,1,0,0,0,0
1565,0,45.18,170,60.61,275,0,12.26,0,70,,452,0,0,0,17,0,0,0,0,0,1
1566,0,50.91,190,61.08,242,0,13.76,0,70,,452,0,0,1,35,0,0,74,0,0,0
1567,1,48.07,173,61.75,254,0,13.61,0,70,,452,0,0,0,32,0,0,1,0,0,0
1568,2,48.49,126,62.6,285,0,13.73,0,70,,452,0,0,0,10,0,0,0,0,0,1
1569,0,48.43,160,63.03,231,1,14.01,0,70,,452,0,1,1,10,1,0,0,0,1,1
1570,0,44.68,269,63.44,220,1,13.44,0,70,,452,0,0,0,19,0,0,0,0,0,1
1571,0,44.87,157,63.71,228,1,13.2,0,67,,443,1,0,1,22,0,0,57,0,0,0
1572,0,43.67,182,64.31,371,1,13.01,0,80,,531,1,0,1,27,0,0,83,0,0,1
1573,0,50.19,183,64.68,352,1,14.42,0,80,,531,0,0,0,14,0,0,0,0,0,0
1574,1,44.55,191,65.07,,1,14.4,0,80,,531,0,0,0,14,1,0,0,0,0,1
